<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>
2023.03.16,10:00:00,1.06251,1.06357,1.06123,1.06125,9092
2023.03.16,11:00:00,1.06123,1.06203,1.06047,1.06174,6682
2023.03.16,12:00:00,1.06173,1.0621,1.06002,1.06162,4815
2023.03.16,13:00:00,1.06162,1.0617,1.06048,1.06131,5086
2023.03.16,14:00:00,1.06132,1.06203,1.05754,1.05878,10622
2023.03.16,15:00:00,1.05878,1.06213,1.05507,1.06066,16797
2023.03.16,16:00:00,1.06073,1.06082,1.05729,1.06003,14357
2023.03.16,17:00:00,1.06004,1.06268,1.05862,1.06214,13139
2023.03.16,18:00:00,1.06213,1.06252,1.06074,1.06187,8901
2023.03.16,19:00:00,1.06187,1.06206,1.05916,1.05922,6672
2023.03.16,20:00:00,1.05922,1.06205,1.05917,1.06123,4940
2023.03.16,21:00:00,1.06123,1.06197,1.0611,1.06149,4540
2023.03.16,22:00:00,1.06149,1.06171,1.06105,1.0616,1167
2023.03.16,23:00:00,1.06104,1.06154,1.06088,1.06115,802
2023.03.17,0:00:00,1.06111,1.06156,1.06081,1.06121,2796
2023.03.17,1:00:00,1.06121,1.06172,1.06116,1.06136,2251
2023.03.17,2:00:00,1.06135,1.06203,1.06115,1.06182,2757
2023.03.17,3:00:00,1.06182,1.06319,1.06142,1.0626,3576
2023.03.17,4:00:00,1.0626,1.06387,1.06257,1.06337,2655
2023.03.17,5:00:00,1.06337,1.06448,1.06315,1.06402,2657
2023.03.17,6:00:00,1.06401,1.06493,1.06389,1.06492,2117
2023.03.17,7:00:00,1.06492,1.06507,1.06443,1.06487,2292
2023.03.17,8:00:00,1.06487,1.06631,1.06444,1.06628,2892
2023.03.17,9:00:00,1.06628,1.06694,1.06581,1.06626,5016
2023.03.17,10:00:00,1.06627,1.06701,1.06515,1.06523,6663
2023.03.17,11:00:00,1.06523,1.06599,1.06403,1.0647,4457
2023.03.17,12:00:00,1.06468,1.0647,1.06252,1.06333,4161
2023.03.17,13:00:00,1.06333,1.06402,1.06156,1.06297,5364
2023.03.17,14:00:00,1.06297,1.06336,1.06122,1.0626,6539
2023.03.17,15:00:00,1.06262,1.06343,1.06172,1.06256,7009
2023.03.17,16:00:00,1.06256,1.06444,1.06248,1.06337,9328
2023.03.17,17:00:00,1.06337,1.06482,1.06299,1.06465,7142
2023.03.17,18:00:00,1.06463,1.06759,1.06424,1.06675,5713
2023.03.17,19:00:00,1.06675,1.06751,1.06635,1.06729,4143
2023.03.17,20:00:00,1.06729,1.06854,1.06667,1.06808,4596
2023.03.17,21:00:00,1.06808,1.0683,1.0661,1.06614,3748
2023.03.17,22:00:00,1.06614,1.06655,1.06586,1.06653,1251
2023.03.20,0:00:00,1.06774,1.06781,1.06653,1.06698,2358
2023.03.20,1:00:00,1.06699,1.06825,1.0667,1.06807,2261
2023.03.20,2:00:00,1.06806,1.06884,1.06789,1.06808,4043
2023.03.20,3:00:00,1.06808,1.06899,1.06691,1.06748,4426
2023.03.20,4:00:00,1.0675,1.06845,1.06738,1.06796,2941
2023.03.20,5:00:00,1.06796,1.06797,1.06644,1.06691,3597
2023.03.20,6:00:00,1.06691,1.06744,1.06656,1.06697,2246
2023.03.20,7:00:00,1.06695,1.0681,1.06684,1.06794,2255
2023.03.20,8:00:00,1.06794,1.06811,1.06589,1.06612,6692
2023.03.20,9:00:00,1.06611,1.06709,1.06416,1.06555,10640
2023.03.20,10:00:00,1.06556,1.06688,1.06313,1.06613,10135
2023.03.20,11:00:00,1.06614,1.0678,1.06497,1.06745,8216
2023.03.20,12:00:00,1.06745,1.06995,1.06709,1.06962,6240
2023.03.20,13:00:00,1.0696,1.07087,1.06887,1.0707,4649
2023.03.20,14:00:00,1.07071,1.07177,1.07017,1.07052,5927
2023.03.20,15:00:00,1.07051,1.07309,1.07028,1.07238,6924
2023.03.20,16:00:00,1.07238,1.07296,1.07126,1.07269,5627
2023.03.20,17:00:00,1.07269,1.07269,1.07116,1.07212,4853
2023.03.20,18:00:00,1.07212,1.07255,1.07069,1.07254,5129
2023.03.20,19:00:00,1.07257,1.07284,1.07155,1.07161,2607
2023.03.20,20:00:00,1.07161,1.07258,1.07142,1.07243,2797
2023.03.20,21:00:00,1.07244,1.07258,1.07191,1.07231,2419
2023.03.20,22:00:00,1.07231,1.07241,1.07204,1.07232,987
2023.03.20,23:00:00,1.07199,1.07222,1.07185,1.07204,4227
2023.03.21,0:00:00,1.07203,1.07241,1.07197,1.07225,3474
2023.03.21,1:00:00,1.07225,1.07243,1.07155,1.07185,1502
2023.03.21,2:00:00,1.07186,1.07259,1.07153,1.07175,2969
2023.03.21,3:00:00,1.07175,1.07208,1.07151,1.07169,2519
2023.03.21,4:00:00,1.07169,1.07224,1.07161,1.07221,1852
2023.03.21,5:00:00,1.07221,1.07221,1.07141,1.07159,1399
2023.03.21,6:00:00,1.07159,1.07159,1.07097,1.07122,1123
2023.03.21,7:00:00,1.07124,1.07158,1.07104,1.07157,1159
2023.03.21,8:00:00,1.07158,1.07177,1.07041,1.07075,2252
2023.03.21,9:00:00,1.07074,1.07221,1.07061,1.0719,4728
2023.03.21,10:00:00,1.07191,1.07388,1.07162,1.073,6702
2023.03.21,11:00:00,1.07296,1.07496,1.07248,1.07462,4047
2023.03.21,12:00:00,1.07462,1.07646,1.07401,1.07632,4422
2023.03.21,13:00:00,1.07632,1.07846,1.07614,1.07786,4371
2023.03.21,14:00:00,1.07787,1.07827,1.0774,1.07813,4532
2023.03.21,15:00:00,1.07813,1.07886,1.07727,1.07769,4642
2023.03.21,16:00:00,1.07769,1.078,1.07608,1.07743,6052
2023.03.21,17:00:00,1.07744,1.0783,1.07656,1.07688,5061
2023.03.21,18:00:00,1.07688,1.07784,1.07621,1.07677,4159
2023.03.21,19:00:00,1.07679,1.07722,1.07611,1.07643,3094
2023.03.21,20:00:00,1.07645,1.07669,1.07563,1.07648,2112
2023.03.21,21:00:00,1.07648,1.07742,1.07626,1.07695,1810
2023.03.21,22:00:00,1.07695,1.07721,1.07655,1.07693,822
2023.03.21,23:00:00,1.0768,1.07698,1.07676,1.07685,415
2023.03.22,0:00:00,1.07685,1.07702,1.07675,1.07698,1393
2023.03.22,1:00:00,1.07698,1.07739,1.07687,1.07727,1640
2023.03.22,2:00:00,1.07726,1.07761,1.07659,1.07679,2177
2023.03.22,3:00:00,1.07679,1.07769,1.07668,1.07726,3028
2023.03.22,4:00:00,1.07727,1.07753,1.07653,1.07692,2300
2023.03.22,5:00:00,1.07692,1.07724,1.0766,1.077,2063
2023.03.22,6:00:00,1.07699,1.0772,1.0768,1.07688,1170
2023.03.22,7:00:00,1.07688,1.07751,1.07672,1.07726,1330
2023.03.22,8:00:00,1.07725,1.07744,1.07639,1.07668,2191
2023.03.22,9:00:00,1.07667,1.07719,1.07592,1.07657,4394
2023.03.22,10:00:00,1.07657,1.0783,1.07651,1.07802,5435
2023.03.22,11:00:00,1.07804,1.07931,1.07758,1.07867,4256
2023.03.22,12:00:00,1.07867,1.07948,1.07797,1.07924,3840
2023.03.22,13:00:00,1.07923,1.07981,1.07883,1.07972,3136
2023.03.22,14:00:00,1.07972,1.08003,1.07791,1.07819,3995
2023.03.22,15:00:00,1.07819,1.07895,1.0776,1.07815,3806
2023.03.22,16:00:00,1.07816,1.07985,1.07758,1.07953,3970
2023.03.22,17:00:00,1.07953,1.07958,1.07835,1.07913,3782
2023.03.22,18:00:00,1.07913,1.08005,1.07885,1.07989,2867
2023.03.22,19:00:00,1.07989,1.07998,1.07899,1.07935,2895
2023.03.22,20:00:00,1.07939,1.09125,1.0793,1.08808,18984
2023.03.22,21:00:00,1.08807,1.08929,1.08525,1.08656,13770
2023.03.22,22:00:00,1.08654,1.08656,1.08547,1.08593,2069
2023.03.22,23:00:00,1.08579,1.08594,1.08565,1.08587,422
2023.03.23,0:00:00,1.08586,1.08644,1.08569,1.08579,1583
2023.03.23,1:00:00,1.08579,1.08718,1.08579,1.08689,1901
2023.03.23,2:00:00,1.08692,1.08837,1.08685,1.08835,3181
2023.03.23,3:00:00,1.08835,1.08883,1.08791,1.08863,2790
2023.03.23,4:00:00,1.08863,1.0899,1.08822,1.08956,3044
2023.03.23,5:00:00,1.08957,1.09056,1.08931,1.09009,2925
2023.03.23,6:00:00,1.09008,1.09043,1.08949,1.09037,2085
2023.03.23,7:00:00,1.09037,1.09114,1.09021,1.09047,2912
2023.03.23,8:00:00,1.09047,1.09299,1.09035,1.09152,4001
2023.03.23,9:00:00,1.09153,1.09269,1.09004,1.09062,6106
2023.03.23,10:00:00,1.09063,1.09105,1.08913,1.08998,6982
2023.03.23,11:00:00,1.08998,1.09038,1.08807,1.08858,5537
2023.03.23,12:00:00,1.08858,1.08859,1.08669,1.08772,4135
2023.03.23,13:00:00,1.08772,1.08805,1.08698,1.08758,3752
2023.03.23,14:00:00,1.08761,1.08939,1.08697,1.08734,7022
2023.03.23,15:00:00,1.08734,1.08931,1.0873,1.08871,5801
2023.03.23,16:00:00,1.08872,1.08952,1.08807,1.08914,5453
2023.03.23,17:00:00,1.08914,1.09079,1.08836,1.089,5322
2023.03.23,18:00:00,1.08899,1.08988,1.08835,1.08956,4868
2023.03.23,19:00:00,1.08956,1.08956,1.08642,1.08688,3776
2023.03.23,20:00:00,1.08688,1.08768,1.08278,1.08418,5275
2023.03.23,21:00:00,1.0842,1.08534,1.08242,1.08401,8951
2023.03.23,22:00:00,1.084,1.08409,1.0831,1.08323,1686
2023.03.23,23:00:00,1.08312,1.08349,1.08307,1.08331,1476
2023.03.24,0:00:00,1.08317,1.08384,1.0827,1.08314,1437
2023.03.24,1:00:00,1.08314,1.08358,1.08312,1.08346,1689
2023.03.24,2:00:00,1.08347,1.08349,1.08246,1.08326,2919
2023.03.24,3:00:00,1.08326,1.08351,1.08205,1.0825,4943
2023.03.24,4:00:00,1.0825,1.08283,1.08199,1.08206,3390
2023.03.24,5:00:00,1.08207,1.08287,1.08173,1.08287,2044
2023.03.24,6:00:00,1.08287,1.08343,1.08232,1.08343,2338
2023.03.24,7:00:00,1.08342,1.08372,1.08309,1.08336,2574
2023.03.24,8:00:00,1.08336,1.08354,1.08246,1.08248,2540
2023.03.24,9:00:00,1.08248,1.08352,1.08229,1.08282,3908
2023.03.24,10:00:00,1.08281,1.08311,1.0768,1.07802,10682
2023.03.24,11:00:00,1.07802,1.07909,1.07215,1.07258,9014
2023.03.24,12:00:00,1.07258,1.07426,1.07214,1.07278,9769
2023.03.24,13:00:00,1.07279,1.07483,1.07124,1.07384,6258
2023.03.24,14:00:00,1.07383,1.07523,1.07231,1.07494,7602
2023.03.24,15:00:00,1.07496,1.07658,1.07413,1.0757,8424
2023.03.24,16:00:00,1.07573,1.07676,1.07494,1.075,7164
2023.03.24,17:00:00,1.075,1.07639,1.07416,1.07611,6523
2023.03.24,18:00:00,1.07611,1.07673,1.07514,1.07574,4774
2023.03.24,19:00:00,1.07574,1.07677,1.07553,1.07616,3490
2023.03.24,20:00:00,1.07616,1.07628,1.07541,1.07606,2631
2023.03.24,21:00:00,1.07607,1.07665,1.07576,1.0759,2064
2023.03.24,22:00:00,1.07589,1.07628,1.07589,1.07601,1150
2023.03.27,0:00:00,1.07707,1.07721,1.07644,1.07644,153
2023.03.27,1:00:00,1.07651,1.07798,1.07649,1.07776,2836
2023.03.27,2:00:00,1.07777,1.07787,1.07709,1.07778,2073
2023.03.27,3:00:00,1.07776,1.07776,1.07609,1.0761,2921
2023.03.27,4:00:00,1.0761,1.07671,1.07576,1.07615,3520
2023.03.27,5:00:00,1.07616,1.07703,1.07615,1.07698,2007
2023.03.27,6:00:00,1.07696,1.07749,1.07685,1.07715,2242
2023.03.27,7:00:00,1.07715,1.07726,1.07641,1.07679,1638
2023.03.27,8:00:00,1.07679,1.07709,1.07636,1.07654,2704
2023.03.27,9:00:00,1.07654,1.07666,1.07513,1.07635,4415
2023.03.27,10:00:00,1.07635,1.07822,1.07451,1.07515,6134
2023.03.27,11:00:00,1.07514,1.07727,1.07503,1.07667,4981
2023.03.27,12:00:00,1.07666,1.07695,1.07566,1.07662,3684
2023.03.27,13:00:00,1.07661,1.07696,1.07616,1.07678,3374
2023.03.27,14:00:00,1.07678,1.07809,1.0767,1.07718,3539
2023.03.27,15:00:00,1.07718,1.07804,1.0768,1.07731,4523
2023.03.27,16:00:00,1.07732,1.07948,1.07702,1.07843,5647
2023.03.27,17:00:00,1.07843,1.07919,1.07757,1.07816,4918
2023.03.27,18:00:00,1.07816,1.079,1.07776,1.07879,3168
2023.03.27,19:00:00,1.0788,1.07949,1.07864,1.07911,2561
2023.03.27,20:00:00,1.07911,1.07958,1.07862,1.0794,2478
2023.03.27,21:00:00,1.07941,1.07967,1.07892,1.07957,1947
2023.03.27,22:00:00,1.07957,1.07989,1.07922,1.07973,1550
2023.03.27,23:00:00,1.07973,1.08001,1.07962,1.07977,607
2023.03.28,0:00:00,1.07955,1.07974,1.07944,1.07964,194
2023.03.28,1:00:00,1.07959,1.08009,1.07959,1.0799,840
2023.03.28,2:00:00,1.0799,1.08078,1.07986,1.08063,1304
2023.03.28,3:00:00,1.08063,1.08179,1.08035,1.08157,2352
2023.03.28,4:00:00,1.08157,1.08194,1.08104,1.0815,2809
2023.03.28,5:00:00,1.08149,1.08178,1.08108,1.08139,2101
2023.03.28,6:00:00,1.08139,1.08179,1.08121,1.08151,1897
2023.03.28,7:00:00,1.08151,1.08153,1.081,1.08123,1766
2023.03.28,8:00:00,1.08122,1.08163,1.08063,1.08103,2091
2023.03.28,9:00:00,1.08103,1.0819,1.0808,1.08082,3813
2023.03.28,10:00:00,1.08083,1.08342,1.08083,1.08205,5033
2023.03.28,11:00:00,1.08206,1.08241,1.08116,1.08123,4094
2023.03.28,12:00:00,1.08123,1.0823,1.08102,1.08165,3172
2023.03.28,13:00:00,1.08164,1.08295,1.08145,1.08226,3080
2023.03.28,14:00:00,1.08226,1.08367,1.08206,1.08314,3337
2023.03.28,15:00:00,1.08314,1.08469,1.08301,1.08395,5179
2023.03.28,16:00:00,1.08395,1.08395,1.08223,1.08246,4874
2023.03.28,17:00:00,1.08238,1.08412,1.08165,1.08321,5629
2023.03.28,18:00:00,1.08321,1.08461,1.08311,1.08428,3754
2023.03.28,19:00:00,1.08429,1.08442,1.08315,1.0842,2494
2023.03.28,20:00:00,1.08423,1.08443,1.08367,1.08377,1831
2023.03.28,21:00:00,1.08376,1.08439,1.08357,1.08433,1792
2023.03.28,22:00:00,1.08432,1.08486,1.08414,1.08479,1339
2023.03.28,23:00:00,1.08472,1.08475,1.08434,1.08444,608
2023.03.29,0:00:00,1.08416,1.08434,1.08382,1.08392,2319
2023.03.29,1:00:00,1.08386,1.08447,1.08385,1.08412,668
2023.03.29,2:00:00,1.08414,1.08416,1.08362,1.08391,882
2023.03.29,3:00:00,1.08391,1.08476,1.08391,1.08471,2783
2023.03.29,4:00:00,1.08472,1.08495,1.08395,1.08449,2456
2023.03.29,5:00:00,1.08449,1.08462,1.08367,1.08377,1722
2023.03.29,6:00:00,1.08379,1.08391,1.08346,1.08364,1467
2023.03.29,7:00:00,1.08364,1.08439,1.08338,1.08375,1906
2023.03.29,8:00:00,1.08383,1.08409,1.08317,1.0832,2208
2023.03.29,9:00:00,1.08315,1.08344,1.08228,1.08229,3532
2023.03.29,10:00:00,1.08227,1.08375,1.08178,1.08368,3486
2023.03.29,11:00:00,1.08362,1.08397,1.08267,1.08329,3853
2023.03.29,12:00:00,1.08329,1.08627,1.08323,1.08599,3761
2023.03.29,13:00:00,1.08599,1.08627,1.08509,1.08575,3055
2023.03.29,14:00:00,1.08574,1.08717,1.08525,1.08551,3718
2023.03.29,15:00:00,1.08552,1.08602,1.0839,1.08537,4940
2023.03.29,16:00:00,1.08537,1.08585,1.08327,1.08469,5206
2023.03.29,17:00:00,1.08468,1.08528,1.08256,1.0831,6488
2023.03.29,18:00:00,1.08309,1.08437,1.08247,1.08251,5031
2023.03.29,19:00:00,1.08251,1.08355,1.08236,1.08278,2635
2023.03.29,20:00:00,1.08278,1.08483,1.08259,1.08465,2328
2023.03.29,21:00:00,1.08465,1.08473,1.08371,1.08445,2076
2023.03.29,22:00:00,1.08442,1.0847,1.08392,1.08395,2507
2023.03.29,23:00:00,1.08396,1.08446,1.08384,1.08444,665
2023.03.30,0:00:00,1.08389,1.0842,1.08382,1.08396,3135
2023.03.30,1:00:00,1.08393,1.08483,1.08391,1.08441,1044
2023.03.30,2:00:00,1.08444,1.08459,1.08398,1.08427,1146
2023.03.30,3:00:00,1.08429,1.08433,1.08355,1.08376,2038
2023.03.30,4:00:00,1.08376,1.08377,1.08285,1.08318,2423
2023.03.30,5:00:00,1.08316,1.08346,1.08273,1.08305,1439
2023.03.30,6:00:00,1.08305,1.08361,1.08264,1.08329,1373
2023.03.30,7:00:00,1.08329,1.08414,1.08321,1.08391,867
2023.03.30,8:00:00,1.08394,1.08467,1.08363,1.08417,2862
2023.03.30,9:00:00,1.08416,1.08505,1.08321,1.08463,4062
2023.03.30,10:00:00,1.08457,1.08579,1.08237,1.0855,5885
2023.03.30,11:00:00,1.08547,1.08794,1.08506,1.08732,4938
2023.03.30,12:00:00,1.0874,1.08762,1.08591,1.08606,3578
2023.03.30,13:00:00,1.08606,1.08848,1.08602,1.08788,3258
2023.03.30,14:00:00,1.08787,1.08813,1.08724,1.0879,2633
2023.03.30,15:00:00,1.08789,1.09111,1.08786,1.09103,5849
2023.03.30,16:00:00,1.09103,1.09263,1.09072,1.09171,6469
2023.03.30,17:00:00,1.09171,1.0921,1.09079,1.09127,5281
2023.03.30,18:00:00,1.09127,1.09134,1.08946,1.08982,3749
2023.03.30,19:00:00,1.08982,1.09067,1.08966,1.0905,2297
2023.03.30,20:00:00,1.0905,1.09056,1.08922,1.09,2081
2023.03.30,21:00:00,1.09001,1.09061,1.08964,1.09054,1452
2023.03.30,22:00:00,1.09055,1.09079,1.09025,1.09068,1273
2023.03.30,23:00:00,1.09068,1.09074,1.09022,1.0905,635
2023.03.31,0:00:00,1.0904,1.09065,1.0904,1.09046,334
2023.03.31,1:00:00,1.09059,1.0906,1.09021,1.09023,735
2023.03.31,2:00:00,1.09022,1.09061,1.09016,1.09042,1185
2023.03.31,3:00:00,1.09043,1.09171,1.09039,1.09157,2717
2023.03.31,4:00:00,1.09156,1.09257,1.09077,1.09081,3235
2023.03.31,5:00:00,1.09081,1.09126,1.09039,1.09073,2224
2023.03.31,6:00:00,1.09071,1.09083,1.09012,1.09068,1356
2023.03.31,7:00:00,1.09067,1.09095,1.09023,1.09034,1007
2023.03.31,8:00:00,1.09034,1.09043,1.08948,1.08955,1665
2023.03.31,9:00:00,1.08953,1.09052,1.08881,1.0904,3163
2023.03.31,10:00:00,1.0904,1.09108,1.08802,1.08848,4622
2023.03.31,11:00:00,1.08847,1.08919,1.0873,1.08895,4983
2023.03.31,12:00:00,1.08893,1.08961,1.08754,1.08837,4839
2023.03.31,13:00:00,1.08838,1.08886,1.08676,1.08693,2817
2023.03.31,14:00:00,1.08693,1.08794,1.08642,1.08672,2708
2023.03.31,15:00:00,1.08673,1.08945,1.08673,1.08872,5463
2023.03.31,16:00:00,1.08873,1.08941,1.08773,1.08915,5524
2023.03.31,17:00:00,1.08917,1.09018,1.08576,1.0867,6610
2023.03.31,18:00:00,1.0867,1.08757,1.08589,1.08719,5082
2023.03.31,19:00:00,1.08719,1.08724,1.08588,1.08694,2919
2023.03.31,20:00:00,1.08694,1.08712,1.08483,1.08531,2197
2023.03.31,21:00:00,1.08531,1.08623,1.08518,1.08556,1959
2023.03.31,22:00:00,1.08554,1.08566,1.08431,1.08458,2550
2023.03.31,23:00:00,1.08459,1.08461,1.08363,1.08429,1386
2023.04.03,0:00:00,1.08429,1.08429,1.08368,1.08404,161
2023.04.03,1:00:00,1.08404,1.08409,1.08048,1.0819,2683
2023.04.03,2:00:00,1.0819,1.0823,1.08013,1.08023,2993
2023.04.03,3:00:00,1.08023,1.08147,1.07987,1.08138,3556
2023.04.03,4:00:00,1.08139,1.08169,1.08028,1.08075,3748
2023.04.03,5:00:00,1.08075,1.0808,1.07907,1.07937,2677
2023.04.03,6:00:00,1.07937,1.07979,1.07882,1.079,2026
2023.04.03,7:00:00,1.079,1.07959,1.07898,1.07931,1633
2023.04.03,8:00:00,1.07931,1.07958,1.07892,1.07954,2180
2023.04.03,9:00:00,1.07949,1.08163,1.07914,1.08149,4324
2023.04.03,10:00:00,1.08149,1.0842,1.08126,1.08391,4914
2023.04.03,11:00:00,1.0839,1.08498,1.083,1.08429,3307
2023.04.03,12:00:00,1.08428,1.08544,1.08428,1.0851,3197
2023.04.03,13:00:00,1.08509,1.08722,1.08497,1.08704,3708
2023.04.03,14:00:00,1.08704,1.08779,1.08608,1.08768,4152
2023.04.03,15:00:00,1.08766,1.08766,1.08618,1.08651,4104
2023.04.03,16:00:00,1.08651,1.08968,1.08645,1.08845,5061
2023.04.03,17:00:00,1.08845,1.09167,1.08843,1.08871,9823
2023.04.03,18:00:00,1.08874,1.0894,1.08784,1.08904,4256
2023.04.03,19:00:00,1.08903,1.08939,1.0884,1.08887,2402
2023.04.03,20:00:00,1.08887,1.08888,1.08801,1.08871,2414
2023.04.03,21:00:00,1.08871,1.09008,1.08861,1.08967,2308
2023.04.03,22:00:00,1.08967,1.09074,1.08948,1.09063,1786
2023.04.03,23:00:00,1.09062,1.09082,1.09019,1.09031,912
2023.04.04,0:00:00,1.09006,1.09049,1.08995,1.09001,363
2023.04.04,1:00:00,1.08998,1.09057,1.08998,1.09036,866
2023.04.04,2:00:00,1.09038,1.09094,1.09036,1.09066,1084
2023.04.04,3:00:00,1.09067,1.09099,1.0899,1.0901,2610
2023.04.04,4:00:00,1.0901,1.09015,1.08903,1.08932,2178
2023.04.04,5:00:00,1.0893,1.08957,1.08884,1.08908,2001
2023.04.04,6:00:00,1.08909,1.08925,1.08887,1.08888,1440
2023.04.04,7:00:00,1.08887,1.08988,1.08879,1.08945,2335
2023.04.04,8:00:00,1.08945,1.08957,1.0883,1.08857,1692
2023.04.04,9:00:00,1.08853,1.09084,1.08849,1.09073,3516
2023.04.04,10:00:00,1.09075,1.09384,1.09022,1.09252,5298
2023.04.04,11:00:00,1.09253,1.09259,1.09137,1.09171,4270
2023.04.04,12:00:00,1.09172,1.09361,1.0916,1.09313,4492
2023.04.04,13:00:00,1.09316,1.09355,1.09163,1.09209,3447
2023.04.04,14:00:00,1.09209,1.09209,1.08959,1.08976,3325
2023.04.04,15:00:00,1.08976,1.09095,1.08869,1.08913,4195
2023.04.04,16:00:00,1.08912,1.09112,1.08885,1.09037,4626
2023.04.04,17:00:00,1.09037,1.09733,1.09036,1.09696,11452
2023.04.04,18:00:00,1.09694,1.09703,1.09491,1.09506,5598
2023.04.04,19:00:00,1.09508,1.09541,1.09432,1.09463,3105
2023.04.04,20:00:00,1.09463,1.09508,1.09437,1.09484,1747
2023.04.04,21:00:00,1.09484,1.09538,1.09441,1.09534,1467
2023.04.04,22:00:00,1.09535,1.09578,1.09511,1.09574,1678
2023.04.04,23:00:00,1.09574,1.09581,1.09542,1.0956,612
2023.04.05,0:00:00,1.09526,1.09559,1.09515,1.09544,316
2023.04.05,1:00:00,1.09543,1.09599,1.09532,1.09571,1483
2023.04.05,2:00:00,1.09572,1.09615,1.09564,1.09576,1101
2023.04.05,3:00:00,1.09575,1.09696,1.09568,1.09606,2194
2023.04.05,4:00:00,1.09605,1.09635,1.09564,1.09574,1289
2023.04.05,5:00:00,1.09578,1.09643,1.09568,1.09609,2829
2023.04.05,6:00:00,1.09609,1.09628,1.09554,1.09597,1711
2023.04.05,7:00:00,1.09597,1.09598,1.09537,1.0955,1414
2023.04.05,8:00:00,1.0955,1.09589,1.09513,1.09579,1548
2023.04.05,9:00:00,1.09578,1.09596,1.09467,1.09485,3242
2023.04.05,10:00:00,1.09484,1.09682,1.09476,1.09504,3911
2023.04.05,11:00:00,1.09503,1.09548,1.09409,1.09513,3941
2023.04.05,12:00:00,1.09514,1.09603,1.0944,1.09522,3283
2023.04.05,13:00:00,1.09521,1.09536,1.09413,1.09458,2585
2023.04.05,14:00:00,1.09461,1.09471,1.0935,1.09412,2867
2023.04.05,15:00:00,1.0941,1.09631,1.09376,1.09579,6907
2023.04.05,16:00:00,1.09578,1.09601,1.09388,1.09401,5523
2023.04.05,17:00:00,1.09405,1.09668,1.09027,1.09098,10080
2023.04.05,18:00:00,1.09098,1.09235,1.09056,1.09174,4373
2023.04.05,19:00:00,1.09175,1.09199,1.08962,1.08968,2501
2023.04.05,20:00:00,1.08969,1.09007,1.08911,1.09007,2114
2023.04.05,21:00:00,1.09008,1.09095,1.08995,1.09091,1409
2023.04.05,22:00:00,1.0909,1.09098,1.0902,1.09038,1277
2023.04.05,23:00:00,1.09041,1.09061,1.09011,1.09056,594
2023.04.06,0:00:00,1.09018,1.09068,1.08992,1.09059,1919
2023.04.06,1:00:00,1.09059,1.09102,1.09056,1.09099,1072
2023.04.06,2:00:00,1.09098,1.09099,1.0903,1.0903,1118
2023.04.06,3:00:00,1.09031,1.09046,1.0893,1.08939,1530
2023.04.06,4:00:00,1.08939,1.08941,1.08846,1.08922,2136
2023.04.06,5:00:00,1.08923,1.08934,1.08854,1.08866,1145
2023.04.06,6:00:00,1.08867,1.08924,1.08861,1.08919,1004
2023.04.06,7:00:00,1.0892,1.0896,1.08898,1.08928,805
2023.04.06,8:00:00,1.08928,1.0896,1.08897,1.08948,1717
2023.04.06,9:00:00,1.08948,1.09067,1.08935,1.09022,2754
2023.04.06,10:00:00,1.09022,1.09173,1.09012,1.09069,4191
2023.04.06,11:00:00,1.09069,1.09102,1.08934,1.08995,3690
2023.04.06,12:00:00,1.08994,1.09102,1.08924,1.09087,2684
2023.04.06,13:00:00,1.09088,1.09088,1.08979,1.09,2365
2023.04.06,14:00:00,1.09,1.09168,1.08998,1.09153,2022
2023.04.06,15:00:00,1.09152,1.0919,1.08897,1.08922,5520
2023.04.06,16:00:00,1.08922,1.08999,1.0886,1.08968,4849
2023.04.06,17:00:00,1.08968,1.09239,1.08927,1.09232,5364
2023.04.06,18:00:00,1.09232,1.09284,1.09196,1.09261,3482
2023.04.06,19:00:00,1.09261,1.09377,1.09261,1.09343,1868
2023.04.06,20:00:00,1.09343,1.09362,1.09293,1.09339,1406
2023.04.06,21:00:00,1.09339,1.0935,1.09295,1.09312,1307
2023.04.06,22:00:00,1.09313,1.09313,1.09215,1.09232,1134
2023.04.06,23:00:00,1.09229,1.09234,1.09163,1.09192,701
2023.04.07,0:00:00,1.09185,1.09205,1.09166,1.09172,237
2023.04.07,1:00:00,1.0918,1.09197,1.09152,1.09168,877
2023.04.07,2:00:00,1.09168,1.09206,1.09159,1.09194,550
2023.04.07,3:00:00,1.09194,1.0924,1.09141,1.09155,940
2023.04.07,4:00:00,1.09155,1.09199,1.09146,1.09177,901
2023.04.07,5:00:00,1.09178,1.09216,1.09171,1.09204,632
2023.04.07,6:00:00,1.09204,1.09211,1.09187,1.09196,645
2023.04.07,7:00:00,1.09195,1.09208,1.09147,1.09148,559
2023.04.07,8:00:00,1.09149,1.0919,1.09146,1.09172,606
2023.04.07,9:00:00,1.09172,1.09194,1.09115,1.09182,1091
2023.04.07,10:00:00,1.09183,1.09197,1.09141,1.09155,857
2023.04.07,11:00:00,1.09155,1.09178,1.09132,1.09156,646
2023.04.07,12:00:00,1.09156,1.09159,1.09114,1.09137,856
2023.04.07,13:00:00,1.09136,1.09218,1.09105,1.09217,711
2023.04.07,14:00:00,1.09217,1.09217,1.09141,1.09175,765
2023.04.07,15:00:00,1.09175,1.09177,1.08757,1.09036,5078
2023.04.07,16:00:00,1.09035,1.09081,1.08934,1.08985,2268
